rank,eligible,parameter_json,market_return20_min,residual_z_max,spacing_atr_multiplier,lower_level_enabled,stop_steps,maximum_horizon,executed_campaigns,total_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,positive_halfyear_fraction,worst_return,p10_return,campaign_return_sharpe,robust_score
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.75,1.0,True,2,10,29,-2171939,-80604,0.32887438381862044,-2834248,-2451623,0.25,-0.08539388932600325,-0.06000327508926289,-3.1856084655437007,-3.243306228979018
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.75,1.0,True,2,15,28,-1775379,-69077.0,0.374801167586892,-2391335,-2055063,0.25,-0.08539388932600325,-0.060255942956727676,-2.9628926851168145,-3.020653615518998
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.75,1.0,True,2,20,28,-1745454,-54114.5,0.3787929153121706,-2361485,-2025138,0.25,-0.08539388932600325,-0.060255942956727676,-2.9417368588943713,-2.9994977892965546
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.75,1.0,True,3,10,29,-2169887,-70249,0.34313386266786905,-2849742,-2449571,0.25,-0.1017340979278427,-0.07063712989798555,-2.88975042383269,-2.9582767552711076
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.75,1.0,True,3,15,27,-1940490,-67905,0.3681902243986299,-2565957,-2220174,0.25,-0.1017340979278427,-0.06937032456784879,-2.7881229603628874,-2.856332590468771
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.75,1.0,True,3,20,27,-1945478,-37980,0.36759323188705423,-2570933,-2225162,0.25,-0.1017340979278427,-0.07847076859288885,-2.7915400422389793,-2.8620247833511225
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.75,1.25,False,2,10,30,-1691952,-96680.0,0.3808997771980968,-2294189,-1971636,0.25,-0.07998250739975105,-0.06710445864001253,-3.0182984480827826,-3.075065816442661
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.75,1.25,False,2,15,29,-1205616,-70249,0.49575542622446866,-1761726,-1485300,0.25,-0.07998250739975105,-0.06834025964293905,-2.7120881791278366,-2.769164497738447
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.75,1.25,False,2,20,29,-1175691,-70249,0.5020389579036091,-1731876,-1455375,0.25,-0.07998250739975105,-0.06834025964293905,-2.6941575695606628,-2.751233888171273
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.75,1.25,False,3,10,29,-1279226,-80604,0.47415727935361135,-1873637,-1558910,0.25,-0.11500030591990114,-0.07060490721247654,-2.5371798230423472,-2.612331202805417
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.75,1.25,False,3,15,27,-790578,-67905,0.6209607899730647,-1331351,-1070262,0.25,-0.11500030591990114,-0.06887203815999401,-2.2796398865184124,-2.3543580490183613
