role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L4:C2,4,2025-09-08T11:14:00,BUY,buy,100,31550,31600,3160000,4740,0,5000,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L4:C3,4,2025-09-08T11:14:00,BUY,buy,100,31550,31600,3160000,4740,0,5000,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L1:C1,1,2025-09-09T09:16:00,SELL,risk_exit,100,31750,31700,3170000,4755,3170,5000,-253040
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L1:C2,1,2025-09-09T09:16:00,SELL,risk_exit,100,31750,31700,3170000,4755,3170,5000,-253040
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L1:C3,1,2025-09-09T09:16:00,SELL,risk_exit,100,31750,31700,3170000,4755,3170,5000,-253040
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L2:C1,2,2025-09-09T11:06:00,BUY,buy,100,26400,26400,2640000,3960,0,0,0
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L2:C2,2,2025-09-09T11:06:00,BUY,buy,100,26400,26400,2640000,3960,0,0,0
locked_final_test,2025-09,MBB,banks,2025-09:MBB:L2:C3,2,2025-09-09T11:06:00,BUY,buy,100,26400,26400,2640000,3960,0,0,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L2:C1,2,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,-152970
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L2:C2,2,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,-152970
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L2:C3,2,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,-152970
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L3:C1,3,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,-62835
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L3:C2,3,2025-09-10T13:00:00,SELL,risk_exit,100,31950,31900,3190000,4785,3190,5000,-62835
