trial_id,fold_id,ticker,sector,signal_date,entry_date,exit_date,residual_z5,residual_1,center_vnd,lower_vnd,upper_vnd,hard_lower_vnd,grid_ratio,selected,selection_rank,executed,buy_count,sell_count,target_sale_count,maximum_inventory_shares,maximum_inventory_notional_vnd,distance_0_bought_shares,distance_1_bought_shares,distance_2_bought_shares,stress_reduced_orders,stress_cancelled_orders,deep_trend_shutdown,buffer_shutdown,gap_shutdown,time_exit,normal_target_gain_vnd,risk_time_loss_vnd,net_pnl_vnd,double_cost_net_pnl_vnd
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_12,TCB,banks,2024-11-12,2024-11-13,2024-11-13,-0.6087857730316425,3.639354869004914e-05,23810,23000,24600,22750,0.0112717573900174,True,1,False,0,0,0,0,0,0,0,0,0,0,False,True,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_12,MWG,consumer_retail,2024-11-13,2024-11-14,2024-11-14,-1.8271193057803168,0.01799381307849365,65155,62800,67500,62000,0.012101390479266616,True,1,False,0,0,0,0,0,0,0,0,0,0,False,True,True,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_12,MBB,banks,2024-11-13,2024-11-14,2024-11-14,-1.1062660250955467,0.0003743228264119628,24858,24050,25650,23800,0.01079258679868933,True,2,False,0,0,0,0,0,0,0,0,0,0,False,True,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_12,VCB,banks,2024-11-20,2024-11-21,2024-12-12,-0.6848136946332727,-0.0008763980055977718,92055,89600,94500,88800,0.008913577182451116,True,1,True,3,3,3,300,27810000,100,200,300,0,0,False,False,False,False,0,0,-35012,-309269
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_12,VND,securities,2024-12-05,2024-12-06,2024-12-10,-1.801142974310399,0.003749527266932652,13945,13250,14650,13050,0.016881370586562694,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_13,VND,securities,2025-01-02,2025-01-03,2025-01-06,-1.5013362044923826,0.00048408867882252323,13058,12400,13700,12200,0.016755382924619422,True,1,False,0,0,0,0,0,0,0,0,0,0,False,True,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_13,TCB,banks,2025-01-06,2025-01-07,2025-01-13,-0.6189612295344887,0.009863110686216184,24155,23400,24900,23150,0.0104090984878773,True,1,True,1,1,0,200,4790000,0,200,0,0,0,False,True,False,False,0,-203588,-203588,-226971
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_13,SSI,securities,2025-01-07,2025-01-08,2025-01-08,-0.8329404167160959,0.008524426776038551,25975,25000,26950,24700,0.012596589090453358,True,1,False,0,0,0,0,0,0,0,0,0,0,False,True,True,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_13,MWG,consumer_retail,2025-01-07,2025-01-08,2025-01-08,-0.7559569985421056,0.021915391455870167,60320,58100,62500,57400,0.012241132273952626,True,2,False,0,0,0,0,0,0,0,0,0,0,False,True,True,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_13,VPB,banks,2025-01-15,2025-01-16,2025-02-13,-0.7583975067838735,0.010407418742644843,18852,18300,19400,18150,0.009776145030103267,True,1,True,1,1,1,100,1890000,100,0,0,0,0,False,False,False,False,5504,0,5504,-3991
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_13,MWG,consumer_retail,2025-01-21,2025-01-22,2025-02-11,-0.675585740393795,0.006493404559894564,58875,56600,61100,55900,0.012832114122004468,True,1,True,1,1,1,100,6010000,100,0,0,0,0,True,False,False,False,10223,0,10223,-19448
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_13,SSI,securities,2025-01-21,2025-01-22,2025-02-19,-0.5282429076724752,0.0009725864495999125,25082,24000,26200,23650,0.014724956278683088,True,2,True,2,2,2,200,5000000,100,200,0,0,0,False,False,False,False,7251,0,7251,-30291
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_14,VPB,banks,2025-03-06,2025-03-07,2025-03-19,-1.6115063299201182,-0.006152742056961891,19110,18500,19750,18300,0.010956716483600415,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_14,HPG,materials,2025-03-06,2025-03-07,2025-03-28,-1.0062995665413421,-0.005133509268604595,26950,26000,27900,25650,0.011824386959148336,True,2,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_14,SSI,securities,2025-03-11,2025-03-12,2025-03-19,-0.8796320070124644,-0.005285058840714326,25835,24850,26800,24550,0.012670285596344533,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_14,MWG,consumer_retail,2025-03-20,2025-03-21,2025-04-08,-0.6764696227548895,0.003288787041206727,60315,57800,62900,56900,0.014192671037864146,True,1,True,3,3,2,300,18150000,100,200,300,0,0,True,True,True,False,129600,-1847589,-1717989,-1885251
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_14,SSI,securities,2025-04-01,2025-04-02,2025-04-08,-0.7938384130481437,-0.002978749854550629,26630,25600,27650,25250,0.012921668563198097,True,1,True,1,1,0,200,0,0,200,0,0,0,True,True,True,False,0,-464058,-464058,-487712
