role,trading_date,equity_vnd,available_cash_vnd,pending_cash_vnd,inventory_liquidation_value_vnd,realized_pnl_vnd,unrealized_pnl_vnd,benchmark_equity_vnd,selected_sector,selected_tickers
optimization,2024-05-06,1000701221,1000701221,0,0,701221,0,1139824949,,
optimization,2024-05-07,1000701221,1000701221,0,0,701221,0,1135231453,,
optimization,2024-05-08,1000701221,1000701221,0,0,701221,0,1132620829,,
optimization,2024-05-09,1000701221,1000701221,0,0,701221,0,1130463467,,
optimization,2024-05-10,1000701221,1000701221,0,0,701221,0,1129878783,,
optimization,2024-05-13,1000701221,1000701221,0,0,701221,0,1131807705,,
optimization,2024-05-14,1000701221,1000701221,0,0,701221,0,1132365321,,
optimization,2024-05-15,1000701221,1000701221,0,0,701221,0,1139131948,,
optimization,2024-05-16,1000701221,1000701221,0,0,701221,0,1158554929,,
optimization,2024-05-17,1000701221,1000701221,0,0,701221,0,1164566760,,
optimization,2024-05-20,1000701221,1000701221,0,0,701221,0,1169815214,,
optimization,2024-05-21,1000701221,1000701221,0,0,701221,0,1163970972,,
optimization,2024-05-22,1000701221,1000701221,0,0,701221,0,1148181957,,
optimization,2024-05-23,1000701221,1000701221,0,0,701221,0,1147185313,,
optimization,2024-05-24,1000701221,1000701221,0,0,701221,0,1124331811,,
optimization,2024-05-27,1000701221,1000701221,0,0,701221,0,1125807481,,
optimization,2024-05-28,1000701221,1000701221,0,0,701221,0,1134299278,,
optimization,2024-05-29,1000701221,1000701221,0,0,701221,0,1129445737,,
optimization,2024-05-30,1000701221,1000701221,0,0,701221,0,1117811522,,
optimization,2024-05-31,1000701221,1000701221,0,0,701221,0,1114106439,,
optimization,2024-06-03,1000701221,1000701221,0,0,701221,0,1134675859,securities,VND|SSI
optimization,2024-06-04,1000701221,1000701221,0,0,701221,0,1134221003,securities,VND|SSI
optimization,2024-06-05,1000701221,1000701221,0,0,701221,0,1131528035,securities,VND|SSI
optimization,2024-06-06,1000701221,1000701221,0,0,701221,0,1133649279,securities,VND|SSI
optimization,2024-06-07,1000701221,1000701221,0,0,701221,0,1136560502,securities,VND|SSI
optimization,2024-06-10,1000701221,1000701221,0,0,701221,0,1135868954,securities,VND|SSI
optimization,2024-06-11,1000701221,1000701221,0,0,701221,0,1139025638,securities,VND|SSI
optimization,2024-06-12,1000701221,1000701221,0,0,701221,0,1165975424,securities,VND|SSI
optimization,2024-06-13,1000701221,1000701221,0,0,701221,0,1170248706,securities,VND|SSI
optimization,2024-06-14,1000701221,1000701221,0,0,701221,0,1150567632,securities,VND|SSI
optimization,2024-06-17,1000701221,1000701221,0,0,701221,0,1144673766,securities,VND|SSI
optimization,2024-06-18,1000701221,1000701221,0,0,701221,0,1141724972,securities,VND|SSI
optimization,2024-06-19,1000701221,1000701221,0,0,701221,0,1140392523,securities,VND|SSI
optimization,2024-06-20,1000701221,1000701221,0,0,701221,0,1146961427,securities,VND|SSI
optimization,2024-06-21,1000701221,1000701221,0,0,701221,0,1135414271,securities,VND|SSI
